Model1,Model2,TKS,p-value
E_CR,E_NCR,0.3333333333333333,8.870018441363217e-08
E_CR,E_NCRE,0.58,1.1050890820486825e-23
E_CR,E_CRE,0.25333333333333335,0.00012265457229066002
E_NCR,E_NCRE,0.6666666666666666,6.639808432803654e-32
E_NCR,E_CRE,0.4533333333333333,2.897260045106925e-14
E_NCRE,E_CRE,0.43333333333333335,4.995525172600805e-13
