Model1,Model2,TKS,p-value
E_CR,E_NCR,0.3333333333333333,8.870018441363217e-08
E_CR,E_NCRE,0.5866666666666667,2.925235805422983e-24
E_CR,E_CRE,0.3466666666666667,2.1627797293112613e-08
E_NCR,E_NCRE,0.68,2.571860282737139e-33
E_NCR,E_CRE,0.56,5.290396633242105e-22
E_NCRE,E_CRE,0.3,2.3292369663354756e-06
