Model1,Model2,TKS,p-value
E_CR,E_NCR,0.24,0.00033473405864338295
E_CR,E_NCRE,0.34,4.4129444981906546e-08
E_CR,E_CRE,0.12,0.23078236357216822
E_NCR,E_NCRE,0.48,5.145071127878014e-16
E_NCR,E_CRE,0.28,1.388333892239179e-05
E_NCRE,E_CRE,0.26,7.268419098706118e-05
