Index,RDM,RDM_FDH,EAT,EAT_FDH
avg,0.4163689595509597,0.6773756784078477,0.2503074728963288,0.42578981484958545
max,1.0,1.0,1.0,1.0
min,0.11828716745373957,0.3586956521739131,0.07290140430417402,0.13099376114081962
num_considered,150.0,150.0,150.0,150.0
num_eff,6.0,13.0,1.0,6.0
std_dev,0.19882356939069562,0.1738974895568663,0.1746434546807674,0.2130336554680839
