Model1,Model2,TKS,p-value
E_CR,E_NCR,0.38,4.868724048839319e-10
E_CR,E_NCRE,0.5733333333333334,4.092283006961527e-23
E_CR,E_CRE,0.2,0.0048579332350668775
E_NCR,E_NCRE,0.7466666666666667,4.765775347859797e-41
E_NCR,E_CRE,0.4666666666666667,3.994105691075176e-15
E_NCRE,E_CRE,0.41333333333333333,7.435541680299434e-12
