Model1,Model2,TKS,p-value
E_CR,E_NCR,0.41333333333333333,7.435541680299434e-12
E_CR,E_NCRE,0.4866666666666667,1.799621291365404e-16
E_CR,E_CRE,0.1,0.4425235033915137
E_NCR,E_NCRE,0.6933333333333334,9.0288456597289e-35
E_NCR,E_CRE,0.44666666666666666,7.609670961847104e-14
E_NCRE,E_CRE,0.3933333333333333,9.582444553245586e-11
