Model1,Model2,TKS,p-value
E_CR,E_NCR,0.38666666666666666,2.1768814256829647e-10
E_CR,E_NCRE,0.5933333333333334,7.58847782159937e-25
E_CR,E_CRE,0.13333333333333333,0.13906219315479607
E_NCR,E_NCRE,0.7666666666666667,1.3110396870306743e-43
E_NCR,E_CRE,0.49333333333333335,6.186198189068576e-17
E_NCRE,E_CRE,0.52,7.237717095142152e-19
