Model1,Model2,TKS,p-value
E_CR,E_NCR,0.3466666666666667,2.1627797293112613e-08
E_CR,E_NCRE,0.54,2.1287035797715148e-20
E_CR,E_CRE,0.09333333333333334,0.5321869291503776
E_NCR,E_NCRE,0.72,8.169410734405082e-38
E_NCR,E_CRE,0.38,4.868724048839319e-10
E_NCRE,E_CRE,0.5333333333333333,7.024721813246e-20
