Index,RDM,RDM_FDH,EAT,EAT_FDH
avg,0.4425243490121274,0.5881897737215876,0.264304534713309,0.36114958679884535
max,1.0,1.0,1.0,1.0
min,0.15324775502891508,0.2537801625416948,0.06741671104835034,0.09618651317877336
num_considered,150.0,150.0,150.0,150.0
num_eff,8.0,10.0,3.0,4.0
std_dev,0.21015140302634924,0.20464609659893518,0.187624205888967,0.22200959554526115
