Model1,Model2,TKS,p-value
E_CR,E_NCR,0.26666666666666666,4.2462869471388734e-05
E_CR,E_NCRE,0.52,7.237717095142152e-19
E_CR,E_CRE,0.29333333333333333,4.284917060711488e-06
E_NCR,E_NCRE,0.68,2.571860282737139e-33
E_NCR,E_CRE,0.49333333333333335,6.186198189068576e-17
E_NCRE,E_CRE,0.25333333333333335,0.00012265457229066002
